S No,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Mileage,Engine,Power,Seats,Price
1,Audi A3 35 TDI Premium,Mumbai,2016,20003,Diesel,Automatic,20.38 kmpl,1968 CC,143 bhp,5,19.25
2,Audi A3 35 TDI Premium Plus,Mumbai,2016,39000,Diesel,Automatic,20.38 kmpl,1968 CC,143 bhp,5,18.9
3,Audi A3 35 TDI Premium Plus,Hyderabad,2015,52300,Diesel,Automatic,20.38 kmpl,1968 CC,143 bhp,5,
4,Audi A3 35 TDI Technology,Delhi,2017,22000,Diesel,Automatic,20.38 kmpl,1968 CC,143 bhp,5,22.5
5,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,17.11 kmpl,1968 CC,174.33 bhp,5,21.43
6,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,17.11 kmpl,1968 CC,174.33 bhp,5,23.32
7,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,32205,Diesel,Automatic,17.11 kmpl,1968 CC,174.33 bhp,5,25.31
8,Audi A4 2.0 TDI Multitronic,Ahmedabad,2015,13000,Diesel,Automatic,16.55 kmpl,1968 CC,140 bhp,5,23
9,Audi A4 2.0 TDI Premium Sport Limited Edition,Coimbatore,2015,21979,Diesel,Automatic,17.11 kmpl,1968 CC,174.33 bhp,5,23.45
10,Audi A4 2.0 TDI Premium Sport Limited Edition,Coimbatore,2015,44811,Diesel,Automatic,17.11 kmpl,1968 CC,174.33 bhp,5,25.81
11,Audi A4 3.0 TDI Quattro,Coimbatore,2015,35463,Diesel,Automatic,14.94 kmpl,2967 CC,241.4 bhp,5,25.02
12,Audi A4 30 TFSI Premium Plus,Kochi,2017,61221,Petrol,Automatic,17.84 kmpl,1395 CC,147.51 bhp,5,21.73
13,Audi A4 35 TDI Premium,Coimbatore,2016,68193,Diesel,Automatic,17.11 kmpl,1968 CC,174.33 bhp,5,24.74
14,Audi A4 35 TDI Premium,Hyderabad,2015,50000,Diesel,Automatic,17.11 kmpl,1968 CC,174.33 bhp,5,25
15,Audi A4 35 TDI Premium,Coimbatore,2016,39644,Diesel,Automatic,17.11 kmpl,1968 CC,174.33 bhp,5,25.75
16,Audi A4 35 TDI Premium,Coimbatore,2016,39237,Diesel,Automatic,17.11 kmpl,1968 CC,174.33 bhp,5,25.64
17,Audi A4 35 TDI Premium,Bangalore,2015,58970,Diesel,Automatic,17.11 kmpl,1968 CC,174.33 bhp,5,23.75
18,Audi A4 35 TDI Premium,Hyderabad,2015,60000,Diesel,Automatic,17.11 kmpl,1968 CC,174.33 bhp,5,25
19,Audi A4 35 TDI Premium Plus,Kochi,2015,13506,Diesel,Automatic,18.25 kmpl,1968 CC,187.74 bhp,5,21.66
20,Audi A4 35 TDI Premium Plus,Coimbatore,2016,60249,Diesel,Automatic,18.25 kmpl,1968 CC,187.74 bhp,5,
21,Audi A4 35 TDI Premium Sport,Chennai,2016,11000,Diesel,Automatic,17.11 kmpl,1968 CC,174.33 bhp,5,28
22,Audi A4 35 TDI Technology,Hyderabad,2015,45000,Diesel,Automatic,18.25 kmpl,1968 CC,187.74 bhp,5,25
23,Audi A4 35 TDI Technology,Hyderabad,2017,14000,Diesel,Automatic,18.25 kmpl,1968 CC,187.74 bhp,5,43
24,Audi A4 35 TDI Technology,Hyderabad,2015,59000,Diesel,Automatic,18.25 kmpl,1968 CC,187.74 bhp,5,
25,Audi A4 35 TDI Technology Edition,Kochi,2019,38163,Diesel,Automatic,17.11 kmpl,1968 CC,174.33 bhp,5,32.91
26,Audi A4 35 TDI Technology Edition,Hyderabad,2015,30000,Diesel,Automatic,17.11 kmpl,1968 CC,174.33 bhp,5,27
27,Audi A6 2011-2015 2.0 TDI,Kochi,2015,42741,Diesel,Automatic,17.68 kmpl,1968 CC,174.33 bhp,5,
28,Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2015,48222,Diesel,Automatic,17.68 kmpl,1968 CC,174.33 bhp,5,
